"org.junit.tests.SuiteTest:ensureTestIsRun","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.tests.ParameterizedTestTest:count","org.junit.runner.Result:getRunCount","255, 128, 128"
"org.junit.tests.SuiteTest:suiteShouldBeOKwithNonDefaultConstructor","org.junit.runner.Result:wasSuccessful","255, 128, 128"
"org.junit.internal.runners.OldTestClassRunner:makeDescription","org.junit.runner.Description:addChild","255, 128, 128"
"org.junit.internal.runners.TestMethodRunner:expectedException","org.junit.internal.runners.TestIntrospector:expectedException","255, 128, 128"
"org.junit.tests.ParameterizedTestMethodTest:validateAllMethods","org.junit.internal.runners.InitializationError:getCauses","255, 128, 128"
"org.junit.tests.SingleMethodTest:oneTimeSetup","org.junit.runner.Request:getRunner","255, 128, 128"
"org.junit.tests.AnnotationTest:testTestAndTeardownFailure","org.junit.runner.Result:getRunCount","255, 128, 128"
"org.junit.internal.requests.IgnoredClassRunner:run","org.junit.internal.requests.IgnoredClassRunner:getDescription","255, 128, 128"
"org.junit.samples.money.MoneyTest:testSimpleNegate","junit.samples.money.Money:negate","255, 128, 128"
"org.junit.runners.Parameterized:validate","org.junit.internal.runners.MethodValidator:validateStaticMethods","255, 128, 128"
"org.junit.tests.AnnotationTest:testErrorInAfterClass","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.tests.TestClassMethodsRunnerTest:constructorException","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.internal.runners.TestClassMethodsRunner:run","org.junit.runner.notification.RunNotifier:testAborted","255, 128, 128"
"org.junit.tests.AssertionTest:nullMessageDisappearsWithStringAssertEquals","org.junit.ComparisonFailure:getMessage","255, 128, 128"
"org.junit.tests.AnnotationTest:testRunFailure","org.junit.runner.Result:getFailures","255, 128, 128"
"org.junit.tests.OldTestClassAdaptingListenerTest:addFailureDelegatesToNotifier","org.junit.runner.Result:createListener","255, 128, 128"
"org.junit.tests.AnnotationTest:testShadowing","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.tests.OldTestClassRunnerTest:canUnadaptAnAdapter","org.junit.runner.notification.Failure:getDescription","255, 128, 128"
"org.junit.tests.ForwardCompatibilityTest:testNotifyResult","junit.framework.TestResult:addListener","255, 128, 128"
"org.junit.tests.ExpectedTest:unexpected","org.junit.runner.notification.Failure:getMessage","255, 128, 128"
"org.junit.tests.TimeoutTest:failureWithTimeout","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.tests.TestListenerTest:removeFailingListeners","org.junit.runner.notification.Failure:getDescription","255, 128, 128"
